index	masked sentence	original sentence	json file	sentence begin	sentence end	denotation 1	denotation 2
0	As to @DISEASE$ , it is well established that @GENE$ have an important role in viral replication and de novo virus production	As to HCV , it is well established that cyclophilins have an important role in viral replication and de novo virus production	0hbeso65-15-body_text.json	942	1067	{'id': 'A-biobert_T15', 'span': {'begin': 982, 'end': 995}, 'obj': 'Gene'}	{'id': 27, 'span': {'begin': 948, 'end': 952}, 'obj': 'Disease'}
1	Recent data suggest that @DISEASE$ replication is dependent on the interaction between cyclophilin B and nonstructural protein 5B ( NS5B , HCV RNA polymerase ) to stimulate its RNA binding activity and thereby promote the de novo synthesis of @GENE$ [ 42 ]	Recent data suggest that HCV replication is dependent on the interaction between cyclophilin B and nonstructural protein 5B ( NS5B , HCV RNA polymerase ) to stimulate its RNA binding activity and thereby promote the de novo synthesis of positive and negative stranded RNA [ 42 ]	0hbeso65-15-body_text.json	1070	1348	{'id': 'A-biobert_T20', 'span': {'begin': 1307, 'end': 1342}, 'obj': 'Gene'}	{'id': 28, 'span': {'begin': 1095, 'end': 1099}, 'obj': 'Disease'}
2	Recent data suggest that @DISEASE$ replication is dependent on the interaction between cyclophilin B and nonstructural protein 5B ( NS5B , @GENE$ ) to stimulate its RNA binding activity and thereby promote the de novo synthesis of positive and negative stranded RNA [ 42 ]	Recent data suggest that HCV replication is dependent on the interaction between cyclophilin B and nonstructural protein 5B ( NS5B , HCV RNA polymerase ) to stimulate its RNA binding activity and thereby promote the de novo synthesis of positive and negative stranded RNA [ 42 ]	0hbeso65-15-body_text.json	1070	1348	{'id': 'A-biobert_T19', 'span': {'begin': 1203, 'end': 1222}, 'obj': 'Gene'}	{'id': 28, 'span': {'begin': 1095, 'end': 1099}, 'obj': 'Disease'}
3	Recent data suggest that @DISEASE$ replication is dependent on the interaction between cyclophilin B and nonstructural protein 5B ( @GENE$ , HCV RNA polymerase ) to stimulate its RNA binding activity and thereby promote the de novo synthesis of positive and negative stranded RNA [ 42 ]	Recent data suggest that HCV replication is dependent on the interaction between cyclophilin B and nonstructural protein 5B ( NS5B , HCV RNA polymerase ) to stimulate its RNA binding activity and thereby promote the de novo synthesis of positive and negative stranded RNA [ 42 ]	0hbeso65-15-body_text.json	1070	1348	{'id': 'A-biobert_T18', 'span': {'begin': 1196, 'end': 1201}, 'obj': 'Gene'}	{'id': 28, 'span': {'begin': 1095, 'end': 1099}, 'obj': 'Disease'}
4	Recent data suggest that @DISEASE$ replication is dependent on the interaction between cyclophilin B and @GENE$ ( NS5B , HCV RNA polymerase ) to stimulate its RNA binding activity and thereby promote the de novo synthesis of positive and negative stranded RNA [ 42 ]	Recent data suggest that HCV replication is dependent on the interaction between cyclophilin B and nonstructural protein 5B ( NS5B , HCV RNA polymerase ) to stimulate its RNA binding activity and thereby promote the de novo synthesis of positive and negative stranded RNA [ 42 ]	0hbeso65-15-body_text.json	1070	1348	{'id': 'A-biobert_T17', 'span': {'begin': 1169, 'end': 1194}, 'obj': 'Gene'}	{'id': 28, 'span': {'begin': 1095, 'end': 1099}, 'obj': 'Disease'}
5	Recent data suggest that @DISEASE$ replication is dependent on the interaction between @GENE$ and nonstructural protein 5B ( NS5B , HCV RNA polymerase ) to stimulate its RNA binding activity and thereby promote the de novo synthesis of positive and negative stranded RNA [ 42 ]	Recent data suggest that HCV replication is dependent on the interaction between cyclophilin B and nonstructural protein 5B ( NS5B , HCV RNA polymerase ) to stimulate its RNA binding activity and thereby promote the de novo synthesis of positive and negative stranded RNA [ 42 ]	0hbeso65-15-body_text.json	1070	1348	{'id': 'A-biobert_T16', 'span': {'begin': 1151, 'end': 1165}, 'obj': 'Gene'}	{'id': 28, 'span': {'begin': 1095, 'end': 1099}, 'obj': 'Disease'}
6	Given the fact that immunophilins can work as a supportive role in @DISEASE$ infection , it is rational to find out that CyA is capable of the anti - HCV activity through mediating a specific blockade of cyclophilins to @GENE$ [ 43 ]	Given the fact that immunophilins can work as a supportive role in viral infection , it is rational to find out that CyA is capable of the anti - HCV activity through mediating a specific blockade of cyclophilins to NS5B RNA [ 43 ]	0hbeso65-15-body_text.json	1351	1582	{'id': 'A-biobert_T23', 'span': {'begin': 1567, 'end': 1576}, 'obj': 'Gene'}	{'id': 29, 'span': {'begin': 1418, 'end': 1424}, 'obj': 'Disease'}
7	Given the fact that immunophilins can work as a supportive role in @DISEASE$ infection , it is rational to find out that CyA is capable of the anti - HCV activity through mediating a specific blockade of @GENE$ to NS5B RNA [ 43 ]	Given the fact that immunophilins can work as a supportive role in viral infection , it is rational to find out that CyA is capable of the anti - HCV activity through mediating a specific blockade of cyclophilins to NS5B RNA [ 43 ]	0hbeso65-15-body_text.json	1351	1582	{'id': 'A-biobert_T22', 'span': {'begin': 1551, 'end': 1564}, 'obj': 'Gene'}	{'id': 29, 'span': {'begin': 1418, 'end': 1424}, 'obj': 'Disease'}
8	Given the fact that @GENE$ can work as a supportive role in @DISEASE$ infection , it is rational to find out that CyA is capable of the anti - HCV activity through mediating a specific blockade of cyclophilins to NS5B RNA [ 43 ]	Given the fact that immunophilins can work as a supportive role in viral infection , it is rational to find out that CyA is capable of the anti - HCV activity through mediating a specific blockade of cyclophilins to NS5B RNA [ 43 ]	0hbeso65-15-body_text.json	1351	1582	{'id': 'A-biobert_T21', 'span': {'begin': 1371, 'end': 1385}, 'obj': 'Gene'}	{'id': 29, 'span': {'begin': 1418, 'end': 1424}, 'obj': 'Disease'}
9	We demonstrated that PGE 2 increased normal bronchial epithelial cell proliferation through induction of PDK1 , an @GENE$ implicated in the induction of apoptosis and the suppression of @DISEASE$ growth	We demonstrated that PGE 2 increased normal bronchial epithelial cell proliferation through induction of PDK1 , an ankyrin repeat - containing Ser / Thr kinase implicated in the induction of apoptosis and the suppression of tumor growth	x0wij3gt-4-abstract.json	0	236	{'id': 'A-biobert_T2', 'span': {'begin': 115, 'end': 160}, 'obj': 'Gene'}	{'id': 18, 'span': {'begin': 224, 'end': 230}, 'obj': 'Disease'}
